0 с,   0.00 м/с
683 с,   23715.28 м/с
684 с,   23750.00 м/с
685 с,   23784.72 м/с
686 с,   23819.44 м/с
687 с,   23854.17 м/с
688 с,   23888.89 м/с
689 с,   23923.61 м/с
690 с,   23958.33 м/с
691 с,   23993.06 м/с
692 с,   24027.78 м/с
693 с,   24062.50 м/с
694 с,   24097.22 м/с
695 с,   24131.94 м/с
696 с,   24166.67 м/с
697 с,   24201.39 м/с
698 с,   24236.11 м/с
699 с,   24270.83 м/с
700 с,   24305.56 м/с
701 с,   24340.28 м/с
702 с,   24375.00 м/с
703 с,   24409.72 м/с
704 с,   24444.44 м/с
705 с,   24479.17 м/с
706 с,   24513.89 м/с
707 с,   24548.61 м/с
708 с,   24583.33 м/с
709 с,   24618.06 м/с
710 с,   24652.78 м/с
711 с,   24687.50 м/с
712 с,   24722.22 м/с
713 с,   24756.94 м/с
714 с,   24791.67 м/с
715 с,   24826.39 м/с
716 с,   24861.11 м/с
717 с,   24895.83 м/с
718 с,   24930.56 м/с
719 с,   24965.28 м/с
720 с,   25000.00 м/с
721 с,   25034.72 м/с
722 с,   25069.44 м/с
723 с,   25104.17 м/с
724 с,   25138.89 м/с
725 с,   25173.61 м/с
726 с,   25208.33 м/с
727 с,   25243.06 м/с
728 с,   25277.78 м/с
729 с,   25312.50 м/с
730 с,   25347.22 м/с
731 с,   25381.94 м/с
732 с,   25416.67 м/с
733 с,   25451.39 м/с
734 с,   25486.11 м/с
735 с,   25520.83 м/с
736 с,   25555.56 м/с
737 с,   25590.28 м/с
738 с,   25625.00 м/с
739 с,   25659.72 м/с
740 с,   25694.44 м/с
741 с,   25729.17 м/с
742 с,   25763.89 м/с
743 с,   25798.61 м/с
744 с,   25833.33 м/с
745 с,   25868.06 м/с
746 с,   25902.78 м/с
747 с,   25937.50 м/с
748 с,   25972.22 м/с
749 с,   26006.94 м/с
750 с,   26041.67 м/с
751 с,   26076.39 м/с
752 с,   26111.11 м/с
753 с,   26145.83 м/с
754 с,   26180.56 м/с
755 с,   26215.28 м/с
756 с,   26250.00 м/с
757 с,   26284.72 м/с
758 с,   26319.44 м/с
759 с,   26354.17 м/с
760 с,   26388.89 м/с
761 с,   26423.61 м/с
762 с,   26458.33 м/с
763 с,   26493.06 м/с
764 с,   26527.78 м/с
765 с,   26562.50 м/с
766 с,   26597.22 м/с
767 с,   26631.94 м/с
768 с,   26666.67 м/с
769 с,   26701.39 м/с
770 с,   26736.11 м/с
771 с,   26770.83 м/с
772 с,   26805.56 м/с
773 с,   26840.28 м/с
774 с,   26875.00 м/с
775 с,   26909.72 м/с
776 с,   26944.44 м/с
777 с,   26979.17 м/с
778 с,   27013.89 м/с
779 с,   27048.61 м/с
780 с,   27083.33 м/с
781 с,   27118.06 м/с
782 с,   27152.78 м/с
783 с,   27187.50 м/с
784 с,   27222.22 м/с
785 с,   27256.94 м/с
786 с,   27291.67 м/с
787 с,   27326.39 м/с
788 с,   27361.11 м/с
789 с,   27395.83 м/с
790 с,   27430.56 м/с
791 с,   27465.28 м/с
792 с,   27500.00 м/с
793 с,   27534.72 м/с
794 с,   27569.44 м/с
795 с,   27604.17 м/с
796 с,   27638.89 м/с
797 с,   27673.61 м/с
798 с,   27708.33 м/с
799 с,   27743.06 м/с
800 с,   27777.78 м/с
801 с,   27812.50 м/с
802 с,   27847.22 м/с
803 с,   27881.94 м/с
804 с,   27916.67 м/с
805 с,   27951.39 м/с
806 с,   27986.11 м/с
807 с,   28020.83 м/с
808 с,   28055.56 м/с
809 с,   28090.28 м/с
810 с,   28125.00 м/с
811 с,   28159.72 м/с
