0 с,   0.00 м/с
3365 с,   31999.99 м/с
3366 с,   31999.96 м/с
3367 с,   31999.91 м/с
3368 с,   31999.84 м/с
3369 с,   31999.75 м/с
3370 с,   31999.64 м/с
3371 с,   31999.52 м/с
3372 с,   31999.37 м/с
3373 с,   31999.20 м/с
3374 с,   31999.01 м/с
3375 с,   31998.81 м/с
3376 с,   31998.58 м/с
3377 с,   31998.33 м/с
3378 с,   31998.07 м/с
3379 с,   31997.78 м/с
3380 с,   31997.47 м/с
3381 с,   31997.15 м/с
3382 с,   31996.80 м/с
3383 с,   31996.44 м/с
3384 с,   31996.05 м/с
3385 с,   31995.65 м/с
3386 с,   31995.23 м/с
3387 с,   31994.78 м/с
3388 с,   31994.32 м/с
3389 с,   31993.83 м/с
3390 с,   31993.33 м/с
3391 с,   31992.81 м/с
3392 с,   31992.27 м/с
3393 с,   31991.71 м/с
3394 с,   31991.12 м/с
3395 с,   31990.52 м/с
3396 с,   31989.90 м/с
3397 с,   31989.26 м/с
3398 с,   31988.60 м/с
3399 с,   31987.92 м/с
3400 с,   31987.22 м/с
3401 с,   31986.50 м/с
3402 с,   31985.77 м/с
3403 с,   31985.01 м/с
3404 с,   31984.23 м/с
3405 с,   31983.43 м/с
3406 с,   31982.62 м/с
3407 с,   31981.78 м/с
3408 с,   31980.92 м/с
3409 с,   31980.05 м/с
3410 с,   31979.15 м/с
3411 с,   31978.24 м/с
3412 с,   31977.30 м/с
3413 с,   31976.35 м/с
3414 с,   31975.38 м/с
3415 с,   31974.38 м/с
3416 с,   31973.37 м/с
3417 с,   31972.34 м/с
3418 с,   31971.29 м/с
3419 с,   31970.22 м/с
3420 с,   31969.13 м/с
3421 с,   31968.02 м/с
3422 с,   31966.89 м/с
3423 с,   31965.74 м/с
3424 с,   31964.57 м/с
3425 с,   31963.39 м/с
3426 с,   31962.18 м/с
3427 с,   31960.96 м/с
3428 с,   31959.71 м/с
3429 с,   31958.45 м/с
3430 с,   31957.16 м/с
3431 с,   31955.86 м/с
3432 с,   31954.54 м/с
3433 с,   31953.19 м/с
3434 с,   31951.83 м/с
3435 с,   31950.45 м/с
3436 с,   31949.05 м/с
3437 с,   31947.63 м/с
3438 с,   31946.20 м/с
3439 с,   31944.74 м/с
3440 с,   31943.26 м/с
3441 с,   31941.77 м/с
3442 с,   31940.25 м/с
3443 с,   31938.72 м/с
3444 с,   31937.17 м/с
3445 с,   31935.59 м/с
3446 с,   31934.00 м/с
3447 с,   31932.39 м/с
3448 с,   31930.76 м/с
3449 с,   31929.11 м/с
3450 с,   31927.45 м/с
3451 с,   31925.76 м/с
3452 с,   31924.06 м/с
3453 с,   31922.33 м/с
3454 с,   31920.59 м/с
3455 с,   31918.82 м/с
3456 с,   31917.04 м/с
3457 с,   31915.24 м/с
3458 с,   31913.42 м/с
3459 с,   31911.59 м/с
3460 с,   31909.73 м/с
3461 с,   31907.85 м/с
3462 с,   31905.96 м/с
3463 с,   31904.05 м/с
3464 с,   31902.11 м/с
3465 с,   31900.16 м/с
3466 с,   31898.19 м/с
3467 с,   31896.20 м/с
3468 с,   31894.20 м/с
3469 с,   31892.17 м/с
3470 с,   31890.13 м/с
3471 с,   31888.06 м/с
3472 с,   31885.98 м/с
3473 с,   31883.88 м/с
3474 с,   31881.76 м/с
3475 с,   31879.62 м/с
3476 с,   31877.47 м/с
3477 с,   31875.29 м/с
3478 с,   31873.10 м/с
3479 с,   31870.89 м/с
3480 с,   31868.66 м/с
3481 с,   31866.41 м/с
3482 с,   31864.14 м/с
3483 с,   31861.86 м/с
3484 с,   31859.55 м/с
3485 с,   31857.23 м/с
3486 с,   31854.89 м/с
3487 с,   31852.53 м/с
3488 с,   31850.15 м/с
3489 с,   31847.76 м/с
3490 с,   31845.35 м/с
3491 с,   31842.91 м/с
3492 с,   31840.46 м/с
3493 с,   31838.00 м/с
3494 с,   31835.51 м/с
3495 с,   31833.00 м/с
3496 с,   31830.48 м/с
3497 с,   31827.94 м/с
3498 с,   31825.38 м/с
3499 с,   31822.81 м/с
3500 с,   31820.21 м/с
3501 с,   31817.60 м/с
3502 с,   31814.97 м/с
3503 с,   31812.32 м/с
3504 с,   31809.65 м/с
3505 с,   31806.97 м/с
3506 с,   31804.27 м/с
3507 с,   31801.55 м/с
3508 с,   31798.81 м/с
3509 с,   31796.06 м/с
3510 с,   31793.28 м/с
3511 с,   31790.49 м/с
3512 с,   31787.68 м/с
3513 с,   31784.86 м/с
3514 с,   31782.01 м/с
3515 с,   31779.15 м/с
3516 с,   31776.27 м/с
3517 с,   31773.38 м/с
3518 с,   31770.46 м/с
3519 с,   31767.53 м/с
3520 с,   31764.58 м/с
3521 с,   31761.62 м/с
3522 с,   31758.63 м/с
3523 с,   31755.63 м/с
3524 с,   31752.61 м/с
3525 с,   31749.58 м/с
3526 с,   31746.52 м/с
3527 с,   31743.45 м/с
3528 с,   31740.37 м/с
3529 с,   31737.26 м/с
3530 с,   31734.14 м/с
3531 с,   31731.00 м/с
3532 с,   31727.85 м/с
3533 с,   31724.67 м/с
3534 с,   31721.48 м/с
3535 с,   31718.28 м/с
3536 с,   31715.05 м/с
3537 с,   31711.81 м/с
3538 с,   31708.55 м/с
3539 с,   31705.28 м/с
3540 с,   31701.99 м/с
3541 с,   31698.68 м/с
3542 с,   31695.36 м/с
3543 с,   31692.01 м/с
3544 с,   31688.66 м/с
3545 с,   31685.28 м/с
3546 с,   31681.89 м/с
3547 с,   31678.48 м/с
3548 с,   31675.06 м/с
3549 с,   31671.61 м/с
3550 с,   31668.16 м/с
3551 с,   31664.68 м/с
3552 с,   31661.19 м/с
3553 с,   31657.68 м/с
3554 с,   31654.16 м/с
3555 с,   31650.62 м/с
3556 с,   31647.07 м/с
3557 с,   31643.49 м/с
3558 с,   31639.90 м/с
3559 с,   31636.30 м/с
3560 с,   31632.68 м/с
3561 с,   31629.04 м/с
3562 с,   31625.39 м/с
3563 с,   31621.72 м/с
3564 с,   31618.03 м/с
3565 с,   31614.33 м/с
3566 с,   31610.62 м/с
3567 с,   31606.88 м/с
3568 с,   31603.13 м/с
3569 с,   31599.37 м/с
3570 с,   31595.59 м/с
3571 с,   31591.79 м/с
3572 с,   31587.98 м/с
3573 с,   31584.15 м/с
3574 с,   31580.31 м/с
3575 с,   31576.45 м/с
3576 с,   31572.58 м/с
3577 с,   31568.69 м/с
3578 с,   31564.78 м/с
3579 с,   31560.86 м/с
3580 с,   31556.92 м/с
3581 с,   31552.97 м/с
3582 с,   31549.01 м/с
3583 с,   31545.02 м/с
3584 с,   31541.03 м/с
3585 с,   31537.01 м/с
3586 с,   31532.99 м/с
3587 с,   31528.94 м/с
3588 с,   31524.89 м/с
3589 с,   31520.81 м/с
3590 с,   31516.72 м/с
3591 с,   31512.62 м/с
3592 с,   31508.50 м/с
3593 с,   31504.37 м/с
3594 с,   31500.22 м/с
3595 с,   31496.06 м/с
3596 с,   31491.88 м/с
3597 с,   31487.69 м/с
3598 с,   31483.48 м/с
3599 с,   31479.26 м/с
3600 с,   31475.03 м/с
3601 с,   31470.78 м/с
3602 с,   31466.51 м/с
3603 с,   31462.23 м/с
3604 с,   31457.94 м/с
3605 с,   31453.63 м/с
3606 с,   31449.31 м/с
3607 с,   31444.97 м/с
3608 с,   31440.62 м/с
3609 с,   31436.25 м/с
3610 с,   31431.87 м/с
3611 с,   31427.48 м/с
3612 с,   31423.07 м/с
3613 с,   31418.65 м/с
3614 с,   31414.21 м/с
3615 с,   31409.76 м/с
3616 с,   31405.30 м/с
3617 с,   31400.82 м/с
3618 с,   31396.33 м/с
3619 с,   31391.83 м/с
3620 с,   31387.31 м/с
3621 с,   31382.77 м/с
3622 с,   31378.23 м/с
3623 с,   31373.67 м/с
3624 с,   31369.09 м/с
3625 с,   31364.51 м/с
3626 с,   31359.91 м/с
3627 с,   31355.29 м/с
3628 с,   31350.67 м/с
3629 с,   31346.03 м/с
3630 с,   31341.37 м/с
3631 с,   31336.70 м/с
3632 с,   31332.02 м/с
3633 с,   31327.33 м/с
3634 с,   31322.62 м/с
3635 с,   31317.90 м/с
3636 с,   31313.17 м/с
3637 с,   31308.43 м/с
3638 с,   31303.67 м/с
3639 с,   31298.90 м/с
3640 с,   31294.11 м/с
3641 с,   31289.31 м/с
3642 с,   31284.51 м/с
3643 с,   31279.68 м/с
3644 с,   31274.85 м/с
3645 с,   31270.00 м/с
3646 с,   31265.14 м/с
3647 с,   31260.27 м/с
3648 с,   31255.38 м/с
3649 с,   31250.49 м/с
3650 с,   31245.58 м/с
3651 с,   31240.65 м/с
3652 с,   31235.72 м/с
3653 с,   31230.77 м/с
3654 с,   31225.81 м/с
3655 с,   31220.84 м/с
3656 с,   31215.86 м/с
3657 с,   31210.87 м/с
3658 с,   31205.86 м/с
3659 с,   31200.84 м/с
3660 с,   31195.81 м/с
3661 с,   31190.77 м/с
3662 с,   31185.71 м/с
3663 с,   31180.65 м/с
3664 с,   31175.57 м/с
3665 с,   31170.48 м/с
3666 с,   31165.38 м/с
3667 с,   31160.27 м/с
3668 с,   31155.15 м/с
3669 с,   31150.01 м/с
3670 с,   31144.86 м/с
3671 с,   31139.71 м/с
3672 с,   31134.54 м/с
3673 с,   31129.36 м/с
3674 с,   31124.17 м/с
3675 с,   31118.96 м/с
3676 с,   31113.75 м/с
3677 с,   31108.53 м/с
3678 с,   31103.29 м/с
3679 с,   31098.05 м/с
3680 с,   31092.79 м/с
3681 с,   31087.52 м/с
3682 с,   31082.24 м/с
3683 с,   31076.95 м/с
3684 с,   31071.65 м/с
3685 с,   31066.34 м/с
3686 с,   31061.02 м/с
3687 с,   31055.69 м/с
3688 с,   31050.35 м/с
3689 с,   31045.00 м/с
3690 с,   31039.63 м/с
3691 с,   31034.26 м/с
3692 с,   31028.88 м/с
3693 с,   31023.49 м/с
3694 с,   31018.08 м/с
3695 с,   31012.67 м/с
3696 с,   31007.25 м/с
3697 с,   31001.81 м/с
3698 с,   30996.37 м/с
3699 с,   30990.92 м/с
3700 с,   30985.45 м/с
3701 с,   30979.98 м/с
3702 с,   30974.50 м/с
3703 с,   30969.01 м/с
3704 с,   30963.51 м/с
3705 с,   30958.00 м/с
3706 с,   30952.48 м/с
3707 с,   30946.95 м/с
3708 с,   30941.41 м/с
3709 с,   30935.86 м/с
3710 с,   30930.30 м/с
3711 с,   30924.74 м/с
3712 с,   30919.16 м/с
3713 с,   30913.57 м/с
3714 с,   30907.98 м/с
3715 с,   30902.38 м/с
3716 с,   30896.77 м/с
3717 с,   30891.15 м/с
3718 с,   30885.52 м/с
3719 с,   30879.88 м/с
3720 с,   30874.23 м/с
3721 с,   30868.58 м/с
3722 с,   30862.91 м/с
3723 с,   30857.24 м/с
3724 с,   30851.56 м/с
3725 с,   30845.87 м/с
3726 с,   30840.17 м/с
3727 с,   30834.47 м/с
3728 с,   30828.75 м/с
3729 с,   30823.03 м/с
3730 с,   30817.30 м/с
3731 с,   30811.56 м/с
3732 с,   30805.81 м/с
3733 с,   30800.06 м/с
3734 с,   30794.30 м/с
3735 с,   30788.53 м/с
3736 с,   30782.75 м/с
3737 с,   30776.96 м/с
3738 с,   30771.17 м/с
3739 с,   30765.37 м/с
3740 с,   30759.56 м/с
3741 с,   30753.74 м/с
3742 с,   30747.92 м/с
3743 с,   30742.09 м/с
3744 с,   30736.25 м/с
3745 с,   30730.40 м/с
3746 с,   30724.55 м/с
3747 с,   30718.69 м/с
3748 с,   30712.82 м/с
3749 с,   30706.95 м/с
3750 с,   30701.07 м/с
3751 с,   30695.18 м/с
3752 с,   30689.29 м/с
3753 с,   30683.38 м/с
3754 с,   30677.48 м/с
3755 с,   30671.56 м/с
3756 с,   30665.64 м/с
3757 с,   30659.71 м/с
3758 с,   30653.78 м/с
3759 с,   30647.83 м/с
3760 с,   30641.89 м/с
3761 с,   30635.93 м/с
3762 с,   30629.97 м/с
3763 с,   30624.01 м/с
3764 с,   30618.03 м/с
3765 с,   30612.06 м/с
3766 с,   30606.07 м/с
3767 с,   30600.08 м/с
3768 с,   30594.08 м/с
3769 с,   30588.08 м/с
3770 с,   30582.07 м/с
3771 с,   30576.06 м/с
3772 с,   30570.04 м/с
3773 с,   30564.01 м/с
3774 с,   30557.98 м/с
3775 с,   30551.95 м/с
3776 с,   30545.90 м/с
3777 с,   30539.86 м/с
3778 с,   30533.80 м/с
3779 с,   30527.75 м/с
3780 с,   30521.68 м/с
3781 с,   30515.61 м/с
3782 с,   30509.54 м/с
3783 с,   30503.46 м/с
3784 с,   30497.38 м/с
3785 с,   30491.29 м/с
3786 с,   30485.20 м/с
3787 с,   30479.10 м/с
3788 с,   30473.00 м/с
3789 с,   30466.89 м/с
3790 с,   30460.78 м/с
3791 с,   30454.66 м/с
3792 с,   30448.54 м/с
3793 с,   30442.42 м/с
3794 с,   30436.29 м/с
3795 с,   30430.15 м/с
3796 с,   30424.01 м/с
3797 с,   30417.87 м/с
3798 с,   30411.73 м/с
3799 с,   30405.57 м/с
3800 с,   30399.42 м/с
3801 с,   30393.26 м/с
3802 с,   30387.10 м/с
3803 с,   30380.93 м/с
3804 с,   30374.76 м/с
3805 с,   30368.59 м/с
3806 с,   30362.41 м/с
3807 с,   30356.23 м/с
3808 с,   30350.05 м/с
3809 с,   30343.86 м/с
3810 с,   30337.67 м/с
3811 с,   30331.47 м/с
3812 с,   30325.27 м/с
3813 с,   30319.07 м/с
3814 с,   30312.87 м/с
3815 с,   30306.66 м/с
3816 с,   30300.45 м/с
3817 с,   30294.24 м/с
3818 с,   30288.02 м/с
3819 с,   30281.80 м/с
3820 с,   30275.58 м/с
3821 с,   30269.36 м/с
3822 с,   30263.13 м/с
3823 с,   30256.90 м/с
3824 с,   30250.67 м/с
3825 с,   30244.43 м/с
3826 с,   30238.19 м/с
3827 с,   30231.95 м/с
3828 с,   30225.71 м/с
3829 с,   30219.47 м/с
3830 с,   30213.22 м/с
3831 с,   30206.97 м/с
3832 с,   30200.72 м/с
3833 с,   30194.47 м/с
3834 с,   30188.22 м/с
3835 с,   30181.96 м/с
3836 с,   30175.70 м/с
3837 с,   30169.44 м/с
3838 с,   30163.18 м/с
3839 с,   30156.92 м/с
3840 с,   30150.65 м/с
3841 с,   30144.39 м/с
3842 с,   30138.12 м/с
3843 с,   30131.85 м/с
3844 с,   30125.58 м/с
3845 с,   30119.31 м/с
3846 с,   30113.04 м/с
3847 с,   30106.76 м/с
3848 с,   30100.49 м/с
3849 с,   30094.21 м/с
3850 с,   30087.94 м/с
3851 с,   30081.66 м/с
3852 с,   30075.38 м/с
3853 с,   30069.10 м/с
3854 с,   30062.82 м/с
3855 с,   30056.54 м/с
3856 с,   30050.26 м/с
3857 с,   30043.98 м/с
3858 с,   30037.70 м/с
3859 с,   30031.41 м/с
3860 с,   30025.13 м/с
3861 с,   30018.85 м/с
3862 с,   30012.57 м/с
3863 с,   30006.28 м/с
3864 с,   30000.00 м/с
3865 с,   29993.72 м/с
3866 с,   29987.43 м/с
3867 с,   29981.15 м/с
3868 с,   29974.87 м/с
3869 с,   29968.59 м/с
3870 с,   29962.30 м/с
3871 с,   29956.02 м/с
3872 с,   29949.74 м/с
3873 с,   29943.46 м/с
3874 с,   29937.18 м/с
3875 с,   29930.90 м/с
3876 с,   29924.62 м/с
3877 с,   29918.34 м/с
3878 с,   29912.06 м/с
3879 с,   29905.79 м/с
3880 с,   29899.51 м/с
3881 с,   29893.24 м/с
3882 с,   29886.96 м/с
3883 с,   29880.69 м/с
3884 с,   29874.42 м/с
3885 с,   29868.15 м/с
3886 с,   29861.88 м/с
3887 с,   29855.61 м/с
3888 с,   29849.35 м/с
3889 с,   29843.08 м/с
3890 с,   29836.82 м/с
3891 с,   29830.56 м/с
3892 с,   29824.30 м/с
3893 с,   29818.04 м/с
3894 с,   29811.78 м/с
3895 с,   29805.53 м/с
3896 с,   29799.28 м/с
3897 с,   29793.03 м/с
3898 с,   29786.78 м/с
3899 с,   29780.53 м/с
3900 с,   29774.29 м/с
3901 с,   29768.05 м/с
3902 с,   29761.81 м/с
3903 с,   29755.57 м/с
3904 с,   29749.33 м/с
3905 с,   29743.10 м/с
3906 с,   29736.87 м/с
3907 с,   29730.64 м/с
3908 с,   29724.42 м/с
3909 с,   29718.20 м/с
3910 с,   29711.98 м/с
3911 с,   29705.76 м/с
3912 с,   29699.55 м/с
3913 с,   29693.34 м/с
3914 с,   29687.13 м/с
3915 с,   29680.93 м/с
3916 с,   29674.73 м/с
3917 с,   29668.53 м/с
3918 с,   29662.33 м/с
3919 с,   29656.14 м/с
3920 с,   29649.95 м/с
3921 с,   29643.77 м/с
3922 с,   29637.59 м/с
3923 с,   29631.41 м/с
3924 с,   29625.24 м/с
3925 с,   29619.07 м/с
3926 с,   29612.90 м/с
3927 с,   29606.74 м/с
3928 с,   29600.58 м/с
3929 с,   29594.43 м/с
3930 с,   29588.27 м/с
3931 с,   29582.13 м/с
3932 с,   29575.99 м/с
3933 с,   29569.85 м/с
3934 с,   29563.71 м/с
3935 с,   29557.58 м/с
3936 с,   29551.46 м/с
3937 с,   29545.34 м/с
3938 с,   29539.22 м/с
3939 с,   29533.11 м/с
3940 с,   29527.00 м/с
3941 с,   29520.90 м/с
3942 с,   29514.80 м/с
3943 с,   29508.71 м/с
3944 с,   29502.62 м/с
3945 с,   29496.54 м/с
3946 с,   29490.46 м/с
3947 с,   29484.39 м/с
3948 с,   29478.32 м/с
3949 с,   29472.25 м/с
3950 с,   29466.20 м/с
3951 с,   29460.14 м/с
3952 с,   29454.10 м/с
3953 с,   29448.05 м/с
3954 с,   29442.02 м/с
3955 с,   29435.99 м/с
3956 с,   29429.96 м/с
3957 с,   29423.94 м/с
3958 с,   29417.93 м/с
3959 с,   29411.92 м/с
3960 с,   29405.92 м/с
3961 с,   29399.92 м/с
3962 с,   29393.93 м/с
3963 с,   29387.94 м/с
3964 с,   29381.97 м/с
3965 с,   29375.99 м/с
3966 с,   29370.03 м/с
3967 с,   29364.07 м/с
3968 с,   29358.11 м/с
3969 с,   29352.17 м/с
3970 с,   29346.22 м/с
3971 с,   29340.29 м/с
3972 с,   29334.36 м/с
3973 с,   29328.44 м/с
3974 с,   29322.52 м/с
3975 с,   29316.62 м/с
3976 с,   29310.71 м/с
3977 с,   29304.82 м/с
3978 с,   29298.93 м/с
3979 с,   29293.05 м/с
3980 с,   29287.18 м/с
3981 с,   29281.31 м/с
3982 с,   29275.45 м/с
3983 с,   29269.60 м/с
3984 с,   29263.75 м/с
3985 с,   29257.91 м/с
3986 с,   29252.08 м/с
3987 с,   29246.26 м/с
3988 с,   29240.44 м/с
3989 с,   29234.63 м/с
3990 с,   29228.83 м/с
3991 с,   29223.04 м/с
3992 с,   29217.25 м/с
3993 с,   29211.47 м/с
3994 с,   29205.70 м/с
3995 с,   29199.94 м/с
3996 с,   29194.19 м/с
3997 с,   29188.44 м/с
3998 с,   29182.70 м/с
3999 с,   29176.97 м/с
4000 с,   29171.25 м/с
4001 с,   29165.53 м/с
4002 с,   29159.83 м/с
4003 с,   29154.13 м/с
4004 с,   29148.44 м/с
4005 с,   29142.76 м/с
4006 с,   29137.09 м/с
4007 с,   29131.42 м/с
4008 с,   29125.77 м/с
4009 с,   29120.12 м/с
4010 с,   29114.48 м/с
4011 с,   29108.85 м/с
4012 с,   29103.23 м/с
4013 с,   29097.62 м/с
4014 с,   29092.02 м/с
4015 с,   29086.43 м/с
4016 с,   29080.84 м/с
4017 с,   29075.26 м/с
4018 с,   29069.70 м/с
4019 с,   29064.14 м/с
4020 с,   29058.59 м/с
4021 с,   29053.05 м/с
4022 с,   29047.52 м/с
4023 с,   29042.00 м/с
4024 с,   29036.49 м/с
4025 с,   29030.99 м/с
4026 с,   29025.50 м/с
4027 с,   29020.02 м/с
4028 с,   29014.55 м/с
4029 с,   29009.08 м/с
4030 с,   29003.63 м/с
4031 с,   28998.19 м/с
4032 с,   28992.75 м/с
4033 с,   28987.33 м/с
4034 с,   28981.92 м/с
4035 с,   28976.51 м/с
4036 с,   28971.12 м/с
4037 с,   28965.74 м/с
4038 с,   28960.37 м/с
4039 с,   28955.00 м/с
4040 с,   28949.65 м/с
4041 с,   28944.31 м/с
4042 с,   28938.98 м/с
4043 с,   28933.66 м/с
4044 с,   28928.35 м/с
4045 с,   28923.05 м/с
4046 с,   28917.76 м/с
4047 с,   28912.48 м/с
4048 с,   28907.21 м/с
4049 с,   28901.95 м/с
4050 с,   28896.71 м/с
4051 с,   28891.47 м/с
4052 с,   28886.25 м/с
4053 с,   28881.04 м/с
4054 с,   28875.83 м/с
4055 с,   28870.64 м/с
4056 с,   28865.46 м/с
4057 с,   28860.29 м/с
4058 с,   28855.14 м/с
4059 с,   28849.99 м/с
4060 с,   28844.85 м/с
4061 с,   28839.73 м/с
4062 с,   28834.62 м/с
4063 с,   28829.52 м/с
4064 с,   28824.43 м/с
4065 с,   28819.35 м/с
4066 с,   28814.29 м/с
4067 с,   28809.23 м/с
4068 с,   28804.19 м/с
4069 с,   28799.16 м/с
4070 с,   28794.14 м/с
4071 с,   28789.13 м/с
4072 с,   28784.14 м/с
4073 с,   28779.16 м/с
4074 с,   28774.19 м/с
4075 с,   28769.23 м/с
4076 с,   28764.28 м/с
4077 с,   28759.35 м/с
4078 с,   28754.42 м/с
4079 с,   28749.51 м/с
4080 с,   28744.62 м/с
4081 с,   28739.73 м/с
4082 с,   28734.86 м/с
4083 с,   28730.00 м/с
4084 с,   28725.15 м/с
4085 с,   28720.32 м/с
4086 с,   28715.49 м/с
4087 с,   28710.69 м/с
4088 с,   28705.89 м/с
4089 с,   28701.10 м/с
4090 с,   28696.33 м/с
4091 с,   28691.57 м/с
4092 с,   28686.83 м/с
4093 с,   28682.10 м/с
4094 с,   28677.38 м/с
4095 с,   28672.67 м/с
4096 с,   28667.98 м/с
4097 с,   28663.30 м/с
4098 с,   28658.63 м/с
4099 с,   28653.97 м/с
